start	end	group	img	ENG	type	position	description	FIN	tyyppi	työpaikka	kuvailu	CHN	类型	职位	工作描述
2007-09-01	2011-07-01	1	logo_SHUFE.png	Shanghai University of Finance and Economics	education	Bachelors' Study	Major in International Economics and Trade	Shanghai University of Finance and Economics	koulutus	kandidaantti-ohjelma	pääaine oli kansainvälinen talous ja kaupankäynti	上海财经大学	全日制教育	本科	专业：国际经济与贸易
2010-10-15	2011-06-30	3	logo_white_apple.jpg	Apple Store, Hongkong Plaza - Shanghai	internship	Specialist	Organizing and delivering presentations on products; expert in various applications. Direct sales to end-customers, as well as service to over 100 walk-in customers per day.	Apple Store, Shanghaissa	harjoittelu	asiantuntija	tuotteiden esittely ja julkinen työpajaan järjestäminen; käyn hyvin erilaisia sovelluksia ja myös myin Apple-tuotteita asiakkaalle.	Apple Store 苹果旗舰店	实习经历	实习专家	组织产品演示并主讲公开课、同时负责客户服务和产品销售等
2011-07-20	2014-06-30	2	logo_white_boc.jpg	Bank of Shanghai Co. Ltd	full-time	HR-Statistician Specialist	Personnel management, training organization, statistical analysis and reporting	Shanghain Pankki (Bank of Shanghai)	kokopäivätyö	henkilöstöasiantuntija ja tilastotietilijä	koulutus järjestäminen, HR-suunnittelu ja tilastollinen analyysi ja raportointi	上海银行有限公司	全职工作	人力资源与统计专员	培训管理、人力资源计划、统计分析及报告
2014-09-01	2018-07-31	1	logo_JYU.png	University of Jyväskylä	education	Master' Degree Study	Major in International Business and Entrepreneurship (International degree program in English) | 2nd Major in Statistics (mostly in Finnish)	Jyväskylän Yliopisto	koulutus	maisteriohjelma	kansainvälinen maisteriohjemla englanniksi; pääaine on talous- ja yrittäjyystiede (englanniksi International Business and Entrepreneurship)	于韦斯屈莱大学	全日制教育	硕士	专业：国际经济与初创企业管理
2010-06-30	2010-09-15	3	logo_white_winkler.jpg	Winkler Pool Management Ltd. (Virgina, US)	internship	Lifeguard Pool Operator	Oversea summer internship program in the United States. Independently responsible for swimming pool safety and operation. Broadenend horizon with intercultural mind.	Winkler Pool Management Ltd. (Virgina, Yhdysvallat)	harjoittelu	hengenpelastaja, uima-altaanhoitaja	Se oli harjoittelu-matka yhdysvallatoinhin; hoidin uima-allas itsenäisesti; on tärkeä, voin kehittää monikulttuurin viestintää.	Winkler Pool Management Ltd. (美国)	实习经历	救生员及泳池管理员	此经历为美国夏季游学实习项目。在一个社区泳池独立承担运营、安全等各项工作。拓展了国际视野。
2016-05-05	2020-12-31	2	logo_santapark.png	SantaPark Ltd.	full-time	Product Coordinator	A mid-size family company in tourism indusrty, tasks are varied from marketing, sales, product concpet prototyping for international export. The highligh of the expereince is leading the whole company data solution, from data collection, intergration, visulization to analysis. 	SantaPark Oy, Rovaniemellä	kokopäivätyö	tuotekoordinaattori	Työtehtävät matkailualalla sisältävät useita aiheita, esim. markkinointi, myynti ja tuotekonseptisuunnittelu erityisesti aasialaisille asiakkaille. Työn huippuosa on syvällinen osallistuminen tietojärjestelmiin, jossa on tietojen kerääminen, integraatio, visualisointi ja analyysi.	SantaPark Ltd. (芬兰)	全职工作	产品专员	鉴于中型旅游企业的行业特色，此项工作涵盖内容丰富，主要包括市场营销策划、销售及针对亚洲市场的产品理念设计。此履历的亮点为主导全公司的大数据项目，从数据收集、系统融合、数据交互可视化到大数据分析的各项工作。
